gradient1,gradient2,gradient3,gradient4,gradient5
-1.2528788,-0.3319283,-0.041788846,-0.26188263,0.014531459
-2.4539855,-1.3252844,-0.746663,-0.24991958,-0.5085808
-1.9437777,-1.0092367,-0.47515076,-0.2276641,-0.29738635
-2.875624,-1.439388,-0.8258577,-0.5390298,-0.5234198
-1.308094,-0.68868965,-0.42311808,-0.24536999,-0.28210372
-3.377349,-1.8069087,-1.114364,-0.5657708,-0.73488134
-1.2277726,-0.4292449,-0.20088978,-0.28931794,-0.12971275
-2.213536,-1.2125707,-0.72537833,-0.20052147,-0.4641272
-1.8131242,-0.893555,-0.5552069,-0.31618592,-0.368462
-2.6204975,-1.2826004,-0.6882804,-0.14129674,-0.44767573
-2.094137,-0.8077791,-0.2525662,-0.634686,-0.16834626
-1.882806,-0.96756786,-0.5538194,-0.39724818,-0.36875403
-2.2086418,-1.0847691,-0.31763402,-0.06107691,-0.16768861
-2.4490547,-1.2972213,-0.7692998,-0.2597807,-0.500418
-3.4611142,-1.8354287,-1.0825725,-0.48939526,-0.7208027
-2.9144285,-1.5939271,-0.9888058,-0.26178408,-0.6283781
-1.8692358,-0.87159777,-0.48098755,-0.15391764,-0.30875114
-1.4353747,-0.49614045,-0.048879012,-0.24246031,-0.021035157
-1.1510552,-0.57005787,-0.2822109,-0.22614513,-0.19076514
-1.168941,-0.6013749,-0.3649055,-0.086429454,-0.2354129
-2.4577405,-1.3492478,-0.806522,-0.21323922,-0.5004114
-2.9698632,-1.4855565,-0.80323744,-0.038518816,-0.46681806
-1.7334192,-0.7461808,-0.15141042,-0.2684665,-0.094250835
-2.417918,-1.1787689,-0.57305264,-0.20289098,-0.3771362
-2.166656,-1.1416613,-0.64347565,-0.27308086,-0.42902234
-2.1300988,-1.1187757,-0.6643579,-0.16276556,-0.43693197
-1.2087076,-0.37260106,0.036212176,-0.1819,0.034244753
-3.3059452,-1.6848985,-0.8957412,-0.07748875,-0.5323419
-1.3834975,-0.6872412,-0.36188832,-0.0730314,-0.23183714
-1.752709,-0.79574835,-0.031973302,-0.1059402,0.0034241693
-1.0085286,-0.42024025,-0.12047922,-0.10700321,-0.07748218
-2.6654234,-1.3518913,-0.719881,-0.038954146,-0.42351437
-1.2619555,-0.6623003,-0.3355614,-0.1368028,-0.22212219
-1.8037359,-0.97815526,-0.5440904,-0.15906656,-0.3503334
-2.7237785,-1.4864153,-0.9220297,-0.24149036,-0.587333
-1.3852273,-0.73635525,-0.44761896,-0.10170947,-0.2942093
-1.4392368,-0.74162394,-0.38773507,-0.091812514,-0.25019062
-2.6022673,-1.4181988,-0.86634946,-0.23072214,-0.55058235
-2.8064697,-1.5071224,-0.9169259,-0.1950007,-0.58850735
-0.4102137,0.52762264,0.05087748,-0.41938856,0.44331923
0.23758481,0.45840606,0.5654139,-0.74082714,0.10637805
-0.69724876,0.99826264,-0.23465371,-0.26550505,0.17506827
-0.43998316,1.0019987,0.1517666,-0.5152994,0.07076387
-0.4636822,0.6138865,0.31556758,-0.5752916,0.11320452
0.46715108,0.20391785,0.54732865,-0.47949398,0.04661334
-0.89150155,0.5657469,0.20574257,-0.4819066,0.17205039
-0.4133211,0.12843102,0.12840857,-0.15914045,0.14428477
